fullname,city,yearspracticing,proc,pharmadollars,services_count,score,test,last
KELLY M. GAGALANG,NAPA,6,Pt evaluation,,131,11,49,GAGALANG
PALAK D. SHAH,MOUNTAIN VIEW,8,Pt evaluation,,32,11,49,SHAH
LAURA E. GARCIA,ALBANY,,Pt evaluation,,34,11,49,GARCIA
CAROL A. BRACHNA,SAN RAMON,,Pt evaluation,,23,11,49,BRACHNA
CHRISTINE A. ALLEN,EL CERRITO,14,Pt evaluation,,85,11,49,ALLEN
ILONA E. FALVY,CALISTOGA,21,Pt evaluation,,20,11,49,FALVY
JOSEPH E. RIZZA,PALO ALTO,33,Pt evaluation,,97,11,49,RIZZA
LISA M. GIANNONE,SAN FRANCISCO,29,Pt evaluation,,21,11,49,GIANNONE
PATRICIA J. PROEME,SANTA ROSA,,Pt evaluation,,29,11,49,PROEME
LISA M. FOURKAS,CUPERTINO,14,Pt evaluation,,25,11,49,FOURKAS
MICHAEL W. CROFT,LOS ALTOS,13,Pt evaluation,,82,11,49,CROFT
MELISSA RACOUILLAT,SAN FRANCISCO,7,Pt evaluation,,20,11,49,RACOUILLAT
LORNA J. ROZA,SAN LEANDRO,17,Pt evaluation,,27,11,49,ROZA
JEAN E. FEECE,CUPERTINO,21,Pt evaluation,,36,12,63,FEECE
EDWIN B. GUARINO,HALF MOON BAY,,Pt evaluation,,55,12,63,GUARINO
FRANKLIN C. DILL,SAN RAMON,14,Pt evaluation,,40,12,63,DILL
AMIT LEV-RAN,SUNNYVALE,14,Pt evaluation,,38,12,63,LEV-RAN
JEFFREY D. LATZ,WINDSOR,,Pt evaluation,,140,12,63,LATZ
SUPRIYA A. MANIAR-OZA,SAN JOSE,31,Pt evaluation,,107,12,63,MANIAR-OZA
KAREN G. FUJIMOTO,PALO ALTO,30,Pt evaluation,,24,12,63,FUJIMOTO
PAMELA L. ADEN,CORTE MADERA,,Pt evaluation,,19,12,63,ADEN
TOMMY L. SUTTON,LOS ALTOS,39,Pt evaluation,,54,12,63,SUTTON
LOWEN E. CATTOLICO,SAN FRANCISCO,11,Pt evaluation,,52,12,63,CATTOLICO
JOSEPH ASTURIAS,FOSTER CITY,,Pt evaluation,,28,12,63,ASTURIAS
MARK J. SEVER,FORESTVILLE,32,Pt evaluation,,42,12,63,SEVER
KENNETH A. TUCKER,SAN RAFAEL,42,Pt evaluation,,25,12,63,TUCKER
DAWN J. LORETZ,OAKLAND,24,Pt evaluation,,25,12,63,LORETZ
RAMYA GANDRAKOTA,SUNNYVALE,6,Pt evaluation,,37,12,63,GANDRAKOTA
KAYLIN J. MORDOCK,SAN RAFAEL,,Pt evaluation,,26,12,63,MORDOCK
STUART A. HARRIS,LAFAYETTE,41,Pt evaluation,,43,12,63,HARRIS
ANNAPOORNA KOTHA,SAN JOSE,8,Pt evaluation,,61,13,75,KOTHA
CARRIE S. HARABURDA,LAFAYETTE,,Pt evaluation,,42,13,75,HARABURDA
LYNN M. WHELAN,WALNUT CREEK,,Pt evaluation,,49,13,75,WHELAN
BRIAN P. QUINN,LIVERMORE,31,Pt evaluation,,43,13,75,QUINN
ALISHA K. LODHIA,OAKLAND,2,Pt evaluation,,47,13,75,LODHIA
NEEVA P. WALKER,FREMONT,16,Pt evaluation,,78,13,75,WALKER
SUSAN A. GLENFIELD,SAN JOSE,40,Pt evaluation,,22,13,75,GLENFIELD
JEFFREY BAKER,FREMONT,18,Pt evaluation,,60,13,75,BAKER
MELANIE M. WONG,PLEASANTON,11,Pt evaluation,,63,13,75,WONG
HEWITT D. CLEMENT,ALBANY,,Pt evaluation,,69,13,75,CLEMENT
KELLY N. CLYMER,SAN ANSELMO,14,Pt evaluation,,48,13,75,CLYMER
AMY L. FERGUSON,VALLEJO,17,Pt evaluation,,58,13,75,FERGUSON
CHRISTINE L. BLAKE,SANTA ROSA,16,Pt evaluation,,44,13,75,BLAKE
ROBIN J. TOBIAS,MENLO PARK,39,Pt evaluation,,47,14,84,TOBIAS
MICHAEL MANGIBUYAT,SAN BRUNO,15,Pt evaluation,,85,14,84,MANGIBUYAT
RYAN RAUSCH,GILROY,15,Pt evaluation,,84,14,84,RAUSCH
LAWRENCE P. LIWANAG,VALLEJO,18,Pt evaluation,,69,14,84,LIWANAG
KATHLEEN JOHNSON,CUPERTINO,26,Pt evaluation,,79,14,84,JOHNSON
KRISTINA SVENSON-BROWN,NOVATO,30,Pt evaluation,,87,14,84,SVENSON-BROWN
CLINTON ZOLLINGER,GILROY,14,Pt evaluation,,136,14,84,ZOLLINGER
NANCY K. BRYAN,OAKLAND,33,Pt evaluation,,55,14,84,BRYAN
COLMAN A. OLEARY,SAN FRANCISCO,17,Pt evaluation,,59,14,84,OLEARY
VALERIE C. BARTLETT,MENLO PARK,24,Pt evaluation,,50,14,84,BARTLETT
ROBERT A. LUCENTE,SAN JOSE,6,Pt evaluation,,46,14,84,LUCENTE
ADRIANA L. RAMIREZ,LOS GATOS,17,Pt evaluation,,51,14,84,RAMIREZ
ANNE M. ROBINSON,LOS GATOS,29,Pt evaluation,,54,14,84,ROBINSON
MICHAEL J. IACOVELLI,MILL VALLEY,28,Pt evaluation,,116,15,92,IACOVELLI
SERGIO E. MARTINEZ,SAN FRANCISCO,,Pt evaluation,,113,15,92,MARTINEZ
HAROLD BENICH,LOS GATOS,20,Pt evaluation,,67,15,92,BENICH
PHILLIP M. EDWARDS,SARATOGA,16,Pt evaluation,,74,15,92,EDWARDS
RICHARD A. EAGLESTON,REDWOOD CITY,38,Pt evaluation,,102,15,92,EAGLESTON
KATE M. REIBER,NOVATO,4,Pt evaluation,,104,15,92,REIBER
NORMAN G. HART,BRENTWOOD,,Pt evaluation,,71,15,92,HART
SAAD E. SHABAN,SAN JOSE,40,Pt evaluation,,68,15,92,SHABAN
PHILLIP T. DOBASHI,NEWARK,,Pt evaluation,,66,15,92,DOBASHI
MELANI BROOKS-DEBASITIS,SAN JOSE,23,Pt evaluation,,40,16,98,BROOKS-DEBASITIS
JOAN ARIETA,PLEASANT HILL,40,Pt evaluation,,134,16,98,ARIETA
JOSEPH P. BODEN,SANTA ROSA,34,Pt evaluation,,190,17,100,BODEN
DERALD L. SEID,SAN FRANCISCO,44,Remove impacted ear wax,,12,-3,1,SEID
ROBERT K. KOIDA,SONOMA,49,Remove impacted ear wax,,11,3,2,KOIDA
THOMAS E. SUARD,NAPA,32,Remove impacted ear wax,,11,3,2,SUARD
STEPHEN J. SIMS,SUNNYVALE,25,Remove impacted ear wax,,15,4,6,SIMS
WILLIAM G. BROAD,LOS GATOS,26,Remove impacted ear wax,,18,5,8,BROAD
JAMES EDWARDS,ANTIOCH,41,Remove impacted ear wax,,17,5,8,EDWARDS
KEVIN GERSTEN,FREMONT,19,Remove impacted ear wax,,43,6,12,GERSTEN
BABAK KANANI,WALNUT CREEK,7,Remove impacted ear wax,,15,6,12,KANANI
CARL B. ERMSHAR,SAINT HELENA,46,Remove impacted ear wax,,29,7,16,ERMSHAR
JONATHAN D. FRANK,WALNUT CREEK,42,Remove impacted ear wax,,12,7,16,FRANK
ANTHONY J. SAGLIMBENI,SAN JOSE,24,Remove impacted ear wax,,14,7,16,SAGLIMBENI
SCOTT L. LEE,PALO ALTO,,Remove impacted ear wax,,35,7,16,LEE
SARKIS BANIPALSIN,SAN JOSE,18,Remove impacted ear wax,,21,8,24,BANIPALSIN
ARMEN SEREBRAKIAN,PINOLE,35,Remove impacted ear wax,,62,9,26,SEREBRAKIAN
REBECCA A. PARISH,WALNUT CREEK,11,Remove impacted ear wax,,43,9,26,PARISH
EUGENE KIM,MOUNTAIN VIEW,15,Remove impacted ear wax,,129,9,26,KIM
HERBERT D. BROSBE,SANTA ROSA,41,Remove impacted ear wax,,28,9,26,BROSBE
NEESHEET D. PARIKH,SAN JOSE,7,Remove impacted ear wax,,24,9,26,PARIKH
LORRE T. HENDERSON,FAIRFIELD,,Remove impacted ear wax,,113,9,26,HENDERSON
JAMES G. TRAPNELL,SANTA ROSA,22,Remove impacted ear wax,,40,9,26,TRAPNELL
SASSAN FALSAFI,LAFAYETTE,16,Remove impacted ear wax,,22,9,26,FALSAFI
ZEV M. KAHN,CASTRO VALLEY,42,Remove impacted ear wax,,140,9,26,KAHN
JAVIER L. DELEON,WALNUT CREEK,12,Remove impacted ear wax,,25,10,44,DELEON
DEBORAH L. DEMOTT,BERKELEY,23,Remove impacted ear wax,,13,10,44,DEMOTT
CURTIS F. ROBINSON,MILL VALLEY,22,Remove impacted ear wax,,30,10,44,ROBINSON
KRISTIN WOODBURY,FAIRFIELD,9,Remove impacted ear wax,,13,10,44,WOODBURY
WAI F. YEUNG,LAFAYETTE,43,Remove impacted ear wax,,25,10,44,YEUNG
WISAL FARE,SAN LEANDRO,,Remove impacted ear wax,,13,10,44,FARE
JOSEPH W. KRAUT,MORGAN HILL,24,Remove impacted ear wax,,30,11,55,KRAUT
NANCY A. DAVIDSON,SEBASTOPOL,39,Remove impacted ear wax,,19,11,55,DAVIDSON
EMILY S. SHARPE,OAKLAND,,Remove impacted ear wax,,67,11,55,SHARPE
JAMES T. MURPHY,NOVATO,38,Remove impacted ear wax,,49,12,61,MURPHY
HOKE C. SEGARS,SAN FRANCISCO,47,Remove impacted ear wax,,14,12,61,SEGARS
ROBERT A. MICKEL,SAN FRANCISCO,37,Remove impacted ear wax,,119,12,61,MICKEL
JENNIFER BOCK-HUGHES,SAN MATEO,25,Remove impacted ear wax,,250,13,67,BOCK-HUGHES
ABRAHAM G. HSIEH,WALNUT CREEK,28,Remove impacted ear wax,,62,13,67,HSIEH
LLOYD C. FORD,CONCORD,18,Remove impacted ear wax,,439,13,67,FORD
CLINTON LANE,SONOMA,46,Remove impacted ear wax,,24,13,67,LANE
CHARLES R. PETTIT,SANTA ROSA,46,Remove impacted ear wax,,43,13,67,PETTIT
KI HONG K. HO,SAN FRANCISCO,9,Remove impacted ear wax,,156,13,67,HO
JENNIFER E. SERAFIN,SAN FRANCISCO,,Remove impacted ear wax,,85,14,79,SERAFIN
MURRAY A. WOOLF,FAIRFIELD,36,Remove impacted ear wax,,37,14,79,WOOLF
MAN-KIT LEUNG,SAN FRANCISCO,11,Remove impacted ear wax,,56,15,83,LEUNG
DAVID P. ARNSTEIN,LOS GATOS,30,Remove impacted ear wax,,40,15,83,ARNSTEIN
PHILLIP G. WRIGHT,OAKLAND,,Remove impacted ear wax,,4913,15,83,WRIGHT
ROMEO C. AGBAYANI,GREENBRAE,21,Remove impacted ear wax,,256,16,89,AGBAYANI
MARA IACONI,SAN FRANCISCO,,Remove impacted ear wax,,48,16,89,IACONI
TARQUIN ALWATTAR,OAKLAND,2,Remove impacted ear wax,,66,17,93,ALWATTAR
ADAM H. MARVIN,OAKLAND,39,Remove impacted ear wax,283,236,17,93,MARVIN
DAVID N. SCHINDLER,SAN FRANCISCO,48,Remove impacted ear wax,,86,20,97,SCHINDLER
KASRA RASTANI,SAN FRANCISCO,16,Remove impacted ear wax,,185,24,99,RASTANI
HELEN M. WONG,DALY CITY,6,Routine venipuncture,,13,0,1,WONG
YOON J. CHO,SANTA CLARA,23,Routine venipuncture,,23,2,3,CHO
"MACHAON DIAGNOSTICS, INC.",OAKLAND,,Routine venipuncture,,13,2,3,INC.
PATRICIA M. PURCELL,SAN FRANCISCO,,Routine venipuncture,,13,4,7,PURCELL
GREGORY L. BELCHER,SARATOGA,26,Routine venipuncture,,19,4,7,BELCHER
NAHEED MALIK,SAN JOSE,29,Routine venipuncture,,14,4,7,MALIK
FORREST S. CHILCOTT,SANTA ROSA,54,Routine venipuncture,,24,5,13,CHILCOTT
EMILY YONG,SAN FRANCISCO,32,Routine venipuncture,439,15,6,15,YONG
FRED B. STRAUSS,SAN FRANCISCO,,Routine venipuncture,,29,6,15,STRAUSS
AMBER Y. BELLAMY,SAN FRANCISCO,20,Routine venipuncture,,22,6,15,BELLAMY
NILDA ALVERIO,SAN FRANCISCO,,Routine venipuncture,,32,6,15,ALVERIO
BINDU T. DESAI,PT RICHMOND,,Routine venipuncture,,14,6,15,DESAI
STEVEN W. ZONNER,NEWARK,28,Routine venipuncture,,20,6,15,ZONNER
JEAN WOO,SAN FRANCISCO,,Routine venipuncture,,18,7,28,WOO
LILLIAN G. LUM-KAKU,SAN FRANCISCO,,Routine venipuncture,,42,8,30,LUM-KAKU
DANIEL M. WLODARCZYK,SAN FRANCISCO,36,Routine venipuncture,,56,8,30,WLODARCZYK
MICHAEL E. VOLLMER,WALNUT CREEK,13,Routine venipuncture,,15,8,30,VOLLMER
LAURA J. MCCARTHY,SAN FRANCISCO,,Routine venipuncture,,42,8,30,MCCARTHY
KAY YATABE,SAN FRANCISCO,,Routine venipuncture,,67,9,39,YATABE
NGA V. PHAM,SAN JOSE,42,Routine venipuncture,,728,9,39,PHAM
ROBERT M. FRANKLIN,SAN FRANCISCO,,Routine venipuncture,,87,9,39,FRANKLIN
TRANG D. NGUYEN,MILPITAS,22,Routine venipuncture,,141,10,45,NGUYEN
MEE-JIN CHONG,WALNUT CREEK,29,Routine venipuncture,,27,10,45,CHONG
ALBERT YU,SAN FRANCISCO,,Routine venipuncture,,157,11,49,YU
MEI-LAI LUCAS,SAN FRANCISCO,,Routine venipuncture,,129,11,49,LUCAS
JOHN C. CHIU,CUPERTINO,24,Routine venipuncture,,38,12,54,CHIU
"IGENEX, INC.",PALO ALTO,,Routine venipuncture,,23,12,54,INC.
MARY MOYA,SANTA ROSA,13,Routine venipuncture,,19,13,58,MOYA
MELVIN S. DONALDSON,OAKLAND,67,Routine venipuncture,,46,13,58,DONALDSON
STEPHANIE C. CHEN,SAN FRANCISCO,7,Routine venipuncture,,26,14,62,CHEN
STEPHEN T. HUFFORD,SAN FRANCISCO,,Routine venipuncture,,844,14,62,HUFFORD
JENNY Y. WONG,SAN FRANCISCO,3,Routine venipuncture,,26,14,62,WONG
PRASHANTI M. ATLURI,CONCORD,,Routine venipuncture,,821,14,62,ATLURI
THOMAS T. HSU,CUPERTINO,37,Routine venipuncture,,83,14,62,HSU
THOMAS A. NEAL,HEALDSBURG,29,Routine venipuncture,,103,14,62,NEAL
ELIZABETH M. HUFF,OAKLAND,,Routine venipuncture,,37,14,62,HUFF
HOANG N. TRINH,UNION CITY,14,Routine venipuncture,,179,14,62,TRINH
DAVID P. SHU,SAN FRANCISCO,12,Routine venipuncture,,55,15,79,SHU
LILY KAO,SAN JOSE,8,Routine venipuncture,,144,16,81,KAO
BRUCE A. ROBERTSON,SAN LEANDRO,32,Routine venipuncture,,843,16,81,ROBERTSON
YUETIN T. WONG,SAN JOSE,6,Routine venipuncture,,89,16,81,WONG
HALEH SHEIKHOLESLAMI,PALO ALTO,21,Routine venipuncture,,157,17,88,SHEIKHOLESLAMI
VLADIMIR A. TITOV,SAN LEANDRO,31,Routine venipuncture,,502,17,88,TITOV
KAREN CHEE,SAN MATEO,13,Routine venipuncture,,278,19,92,CHEE
THOMAS J. MCGUIRE,SAN JOSE,40,Routine venipuncture,,551,20,94,MCGUIRE
DONALD S. PARSONS,DANVILLE,40,Routine venipuncture,,502,20,94,PARSONS
VIET-HONG D. BUI,SAN JOSE,18,Routine venipuncture,,107,21,98,BUI
SHERWIN WONG,DALY CITY,,Therapeutic exercises,,49,3,1,WONG
LISA S. CHAN,SAN JOSE,19,Therapeutic exercises,,309,5,1,CHAN
WILLIAM VANCE,WALNUT CREEK,2,Therapeutic exercises,,38,7,1,VANCE
GRACE M. MENESES,WOODSIDE,23,Therapeutic exercises,,72,8,2,MENESES
LAURA PORTERFIELD,LOS GATOS,9,Therapeutic exercises,,75,8,2,PORTERFIELD
JUDITH C. FAIRCHILD,RICHMOND,,Therapeutic exercises,,71,9,3,FAIRCHILD
MEGHANN OAKES,VACAVILLE,2,Therapeutic exercises,,93,9,3,OAKES
DEBRA H. IWASAKI,PALO ALTO,22,Therapeutic exercises,,116,9,3,IWASAKI
PATRICIA K. HALL,SANTA ROSA,39,Therapeutic exercises,,83,9,3,HALL
CHRISTOPHER M. RYAN,BELMONT,,Therapeutic exercises,,133,9,3,RYAN
HEATHER H. ROSE,PALO ALTO,,Therapeutic exercises,,143,9,3,ROSE
KARI L. ROBINSON,PALO ALTO,18,Therapeutic exercises,,162,9,3,ROBINSON
JOANNA G. CLARK,EL CERRITO,14,Therapeutic exercises,,58,9,3,CLARK
ABIGAIL D. LAU,EL CERRITO,,Therapeutic exercises,,75,10,7,LAU
KAREEN A. CARAGAN,FAIRFIELD,17,Therapeutic exercises,,297,10,7,CARAGAN
JERILYN STALFORD,SAN MATEO,35,Therapeutic exercises,,46,10,7,STALFORD
BRADLEY MACDOUGALL,PALO ALTO,4,Therapeutic exercises,,252,10,7,MACDOUGALL
JEFFRERY S. SMITH,VACAVILLE,,Therapeutic exercises,,131,10,7,SMITH
KRISTYN M. SCHLENKER,LIVERMORE,,Therapeutic exercises,,250,11,9,SCHLENKER
ANTONIO DIMAANO,PALO ALTO,10,Therapeutic exercises,,808,11,9,DIMAANO
CHRISTA SCHERMERHORN,MOUNTAIN VIEW,,Therapeutic exercises,,240,11,9,SCHERMERHORN
SWEETY SHAH,FREMONT,9,Therapeutic exercises,,238,11,9,SHAH
GINA S. STATHACOPOULOS,SAN MATEO,,Therapeutic exercises,,71,11,9,STATHACOPOULOS
MELISSA M. DE UNAMUNO,FREMONT,12,Therapeutic exercises,,169,11,9,UNAMUNO
JODI S. KABAT,ANTIOCH,,Therapeutic exercises,,151,11,9,KABAT
ELIZABETH C. SAKALDASIS,SONOMA,18,Therapeutic exercises,,72,11,9,SAKALDASIS
PAM HANDLEY,LOS ALTOS,35,Therapeutic exercises,,40,11,9,HANDLEY
SHELJA BANSAL,FOSTER CITY,11,Therapeutic exercises,,264,11,9,BANSAL
MINNIE MAU,OAKLAND,,Therapeutic exercises,,87,11,9,MAU
ELLEN S. PESCOSOLIDO,VACAVILLE,16,Therapeutic exercises,,813,11,9,PESCOSOLIDO
DAVID MULL,PALO ALTO,18,Therapeutic exercises,,808,11,9,MULL
GABRIEL METZGER,KENTFIELD,,Therapeutic exercises,,74,11,9,METZGER
MICHAEL J. MCDERMOTT,SANTA ROSA,24,Therapeutic exercises,,50,11,9,MCDERMOTT
JYOTI SABOO,MONTE SERENO,23,Therapeutic exercises,,156,12,16,SABOO
CHER L. KOOIMAN,SAN JOSE,20,Therapeutic exercises,,62,12,16,KOOIMAN
CRAIG A. AMACK,PLEASANTON,32,Therapeutic exercises,,1303,12,16,AMACK
COLLEEN P. HUFF,SAN FRANCISCO,34,Therapeutic exercises,,430,12,16,HUFF
TIFFANE M. BENNETT,ATHERTON,,Therapeutic exercises,,401,12,16,BENNETT
ILANA M. NACHOUM,TIBURON,33,Therapeutic exercises,,145,12,16,NACHOUM
JAMES A. RODRIGUEZ,SAN FRANCISCO,,Therapeutic exercises,,338,12,16,RODRIGUEZ
ANNA CARISSA A. SUAREZ,DALY CITY,,Therapeutic exercises,,1060,12,16,SUAREZ
FRANK TORTORICE,DALY CITY,25,Therapeutic exercises,271,706,12,16,TORTORICE
PORTLAND E. LOGAN,DALY CITY,21,Therapeutic exercises,,1924,12,16,LOGAN
JANET P. PERRINO,LOS ALTOS,,Therapeutic exercises,,560,12,16,PERRINO
SHIRLEY A. KOLLMANN,SAN FRANCISCO,,Therapeutic exercises,,154,12,16,KOLLMANN
GUSTAVO B. PARRA,SAN JOSE,21,Therapeutic exercises,,159,12,16,PARRA
GENARO A. JIMENEZ,FREMONT,20,Therapeutic exercises,,795,12,16,JIMENEZ
JENNIFER M. JONTE,DANVILLE,6,Therapeutic exercises,,538,12,16,JONTE
LINDSAY BRANZEL,OAKLAND,,Therapeutic exercises,,72,12,16,BRANZEL
ASHLEY FERRINGTON,SAN FRANCISCO,5,Therapeutic exercises,,115,12,16,FERRINGTON
ALAN G. TANG,SUNNYVALE,6,Therapeutic exercises,,268,13,24,TANG
TRACY L. HALMOS,MORGAN HILL,14,Therapeutic exercises,,448,13,24,HALMOS
SABA KAMAL,CUPERTINO,20,Therapeutic exercises,,754,13,24,KAMAL
NATASHA L. NICOLAI,OAKLAND,,Therapeutic exercises,,115,13,24,NICOLAI
ELIZABETH A. MCGONAGLE,NAPA,3,Therapeutic exercises,,323,13,24,MCGONAGLE
MONA RAJPAL,UNION CITY,,Therapeutic exercises,,101,13,24,RAJPAL
GENEVIEVE M. CLEVELAND,LOS GATOS,32,Therapeutic exercises,,453,13,24,CLEVELAND
ANDREA H. LIMB,SAN LEANDRO,17,Therapeutic exercises,,254,13,24,LIMB
ALLYSON R. LACHMAN,SAN RAMON,29,Therapeutic exercises,,182,13,24,LACHMAN
ANDREA M. HERMOSILLO-HAHN,SAN MATEO,7,Therapeutic exercises,,59,13,24,HERMOSILLO-HAHN
SAMUEL J. KABAT,ANTIOCH,11,Therapeutic exercises,,1707,13,24,KABAT
CRISTA OSIO,PORTOLA VALLEY,,Therapeutic exercises,,661,13,24,OSIO
CAROLINE D. TAYLOR,OAKLAND,33,Therapeutic exercises,,156,13,24,TAYLOR
LANCE S. WESTCOTT,LOS ALTOS,11,Therapeutic exercises,,3654,13,24,WESTCOTT
VALERIE B. JACKSON,MOUNTAIN VIEW,26,Therapeutic exercises,,450,13,24,JACKSON
CRYSTINA R. SANTOS,REDWOOD CITY,13,Therapeutic exercises,,258,13,24,SANTOS
IDEN J. WARNOCK,COTATI,36,Therapeutic exercises,,773,13,24,WARNOCK
DANILO N. DICTADO,EL CERRITO,20,Therapeutic exercises,,844,13,24,DICTADO
KEVIN T. AKIZUKI,REDWOOD CITY,23,Therapeutic exercises,,2222,13,24,AKIZUKI
MARTHA G. PLESCIA,SUNNYVALE,41,Therapeutic exercises,,42,13,24,PLESCIA
JINJIAN CHEN,SAN JOSE,18,Therapeutic exercises,,4209,14,34,CHEN
HELEN LIU,MT VIEW,,Therapeutic exercises,,66,14,34,LIU
JOHN R. HORSLEY,MOUNTAIN VIEW,24,Therapeutic exercises,,312,14,34,HORSLEY
DAVID W. TOWNSEND,SANTA ROSA,15,Therapeutic exercises,,1828,14,34,TOWNSEND
GILLIAN M. RIVAS,SEBASTOPOL,,Therapeutic exercises,,202,14,34,RIVAS
KIMBERLY M. MCKEE,SAN FRANCISCO,,Therapeutic exercises,,121,14,34,MCKEE
MICHAEL J. SEGER,SANTA ROSA,,Therapeutic exercises,,509,14,34,SEGER
CHRISTINE M. ERNST,OAKLAND,20,Therapeutic exercises,,296,14,34,ERNST
MINDY S. MARANTZ,SAN FRANCISCO,31,Therapeutic exercises,,652,14,34,MARANTZ
CYNTHIA S. PURUGGANAN,SUNNYVALE,12,Therapeutic exercises,,65,14,34,PURUGGANAN
MARINA TURNER,SAN MATEO,28,Therapeutic exercises,,1441,14,34,TURNER
JENNIFER A. PHAN,CUPERTINO,2,Therapeutic exercises,,125,14,34,PHAN
ARTHUR H. CHU,SAN RAMON,3,Therapeutic exercises,,385,14,34,CHU
YVONNE D. LIEBIG,CORTE MADERA,,Therapeutic exercises,,378,14,34,LIEBIG
JESSICA S. CHIN,SUNNYVALE,15,Therapeutic exercises,,54,14,34,CHIN
ADA JAUREGUI,OAKLAND,5,Therapeutic exercises,,305,14,34,JAUREGUI
SUSAN S. RAUENBUEHLER,DALY CITY,13,Therapeutic exercises,,135,14,34,RAUENBUEHLER
LEEANN M. PRICE,DUBLIN,,Therapeutic exercises,,1269,14,34,PRICE
JESSICA MONALOY,SAN FRANCISCO,,Therapeutic exercises,,326,14,34,MONALOY
ADRIAN M. CARVALHO,SAN FRANCISCO,15,Therapeutic exercises,,905,14,34,CARVALHO
JULIE A. CHOATE,SAN RAMON,20,Therapeutic exercises,,501,14,34,CHOATE
ROBIN K. THOMPSON,DALY CITY,20,Therapeutic exercises,,134,14,34,THOMPSON
JASON R. HALL,SANTA ROSA,12,Therapeutic exercises,,1447,14,34,HALL
LORI L. WONG,MOUNTAIN VIEW,,Therapeutic exercises,,335,14,34,WONG
REID AUGUSTINO,LARKSPUR,5,Therapeutic exercises,,134,14,34,AUGUSTINO
JENNIFER C. MCNARNEY,MORGAN HILL,14,Therapeutic exercises,,71,15,46,MCNARNEY
MICHI YAMAZAKI,SAN JOSE,2,Therapeutic exercises,,94,15,46,YAMAZAKI
MELVIN J. YOUNG,SAN FRANCISCO,,Therapeutic exercises,,264,15,46,YOUNG
MONIKA E. MANN,BERKELEY,,Therapeutic exercises,,394,15,46,MANN
MATTHEW S. ORAVITZ,OAKLAND,6,Therapeutic exercises,,522,15,46,ORAVITZ
VANESSA C. CHIU,DALY CITY,3,Therapeutic exercises,,169,15,46,CHIU
CATHERINE AMISSON,SAN JOSE,8,Therapeutic exercises,,238,15,46,AMISSON
GEORGE CHEN,SAN LEANDRO,18,Therapeutic exercises,,2222,15,46,CHEN
CAROL A. LUDWIG,SAN MATEO,33,Therapeutic exercises,,117,15,46,LUDWIG
SALLY MASON,SANTA CLARA,,Therapeutic exercises,,518,15,46,MASON
MANISHA K. SHAHANI,MOUNTAIN VIEW,11,Therapeutic exercises,,88,15,46,SHAHANI
ELIZABETH A. JENNINGS,ALBANY,,Therapeutic exercises,,545,15,46,JENNINGS
DEBRA M. SOJKA,PETALUMA,21,Therapeutic exercises,,748,15,46,SOJKA
KATHERINE L. NICKERSON,CUPERTINO,24,Therapeutic exercises,,107,15,46,NICKERSON
HAILEY L. KLEID,CASTRO VALLEY,3,Therapeutic exercises,,1052,15,46,KLEID
SCOTT SMITZ,BERKELEY,12,Therapeutic exercises,,269,15,46,SMITZ
TARA M. FRIEDMAN,DALY CITY,6,Therapeutic exercises,,174,15,46,FRIEDMAN
DEANNE B. SMITH,SAN CARLOS,12,Therapeutic exercises,,689,15,46,SMITH
LISA D. HARRIS,MARTINEZ,4,Therapeutic exercises,,71,15,46,HARRIS
KATHERINE GRAHAM,MENLO PARK,4,Therapeutic exercises,,146,15,46,GRAHAM
MELISSA F. HOUTS,LARKSPUR,,Therapeutic exercises,,491,15,46,HOUTS
CASEY OLSEN,SAN JOSE,7,Therapeutic exercises,,268,15,46,OLSEN
SHANNON L. CHEN,CUPERTINO,5,Therapeutic exercises,,172,15,46,CHEN
KATHERINE A. MURRAY,VACAVILLE,16,Therapeutic exercises,,375,15,46,MURRAY
NICOLE E. GRADY,CUPERTINO,3,Therapeutic exercises,,164,15,46,GRADY
JANET JOHNSON,CAMPBELL,35,Therapeutic exercises,,202,16,58,JOHNSON
VLADIMIR NISENZOUN,SAN FRANCISCO,,Therapeutic exercises,,1514,16,58,NISENZOUN
JANE H. EVERSOLE,CASTRO VALLEY,41,Therapeutic exercises,,743,16,58,EVERSOLE
ERIC D. EWIG,NAPA,16,Therapeutic exercises,,3313,16,58,EWIG
DEBORAH Q. LEMIRE,CUPERTINO,31,Therapeutic exercises,,630,16,58,LEMIRE
CHRISTOPHER J. KUHN,FOSTER CITY,16,Therapeutic exercises,,820,16,58,KUHN
SHELLENE A. JONES,SAN JOSE,,Therapeutic exercises,,109,16,58,JONES
ANDREW J. PETULLA,SAN JOSE,26,Therapeutic exercises,,1854,16,58,PETULLA
ALISON R. TURNEY,CAMPBELL,32,Therapeutic exercises,,588,16,58,TURNEY
LIANNA M. ROBERTS,LOS GATOS,6,Therapeutic exercises,,287,16,58,ROBERTS
JENNIFER M. HOLLAND,SAN RAFAEL,,Therapeutic exercises,,737,16,58,HOLLAND
GINA BASUINO,SAN JOSE,,Therapeutic exercises,,287,16,58,BASUINO
HEATHER A. BAZINET,LOS GATOS,,Therapeutic exercises,,133,16,58,BAZINET
RANDALL L. NISHIJIMA,CAMPBELL,25,Therapeutic exercises,,389,16,58,NISHIJIMA
MARCI STEVENSON,SAN JOSE,26,Therapeutic exercises,,363,16,58,STEVENSON
DIANE SHIRAISHI,SAN JOSE,45,Therapeutic exercises,,1183,16,58,SHIRAISHI
